,RegionID,SizeRank,RegionName,RegionType,StateName,date,price
0,9,0,California,State,CA,2000-01-31,202744.0
1,54,1,Texas,State,TX,2000-01-31,114109.0
2,43,2,New York,State,NY,2000-01-31,148975.0
3,14,3,Florida,State,FL,2000-01-31,116274.0
4,21,4,Illinois,State,IL,2000-01-31,147631.0
5,47,5,Pennsylvania,State,PA,2000-01-31,105998.0
6,44,6,Ohio,State,OH,2000-01-31,110117.0
7,30,7,Michigan,State,MI,2000-01-31,122341.0
8,16,8,Georgia,State,GA,2000-01-31,131873.0
9,36,9,North Carolina,State,NC,2000-01-31,134785.0
10,40,10,New Jersey,State,NJ,2000-01-31,185565.0
11,56,11,Virginia,State,VA,2000-01-31,135288.0
12,59,12,Washington,State,WA,2000-01-31,175704.0
13,26,13,Massachusetts,State,MA,2000-01-31,207518.0
14,22,14,Indiana,State,IN,2000-01-31,103225.0
15,8,15,Arizona,State,AZ,2000-01-31,136316.0
16,53,16,Tennessee,State,TN,2000-01-31,113616.0
17,32,17,Missouri,State,MO,2000-01-31,100423.0
18,27,18,Maryland,State,MD,2000-01-31,163376.0
19,60,19,Wisconsin,State,WI,2000-01-31,118229.0
20,31,20,Minnesota,State,MN,2000-01-31,135705.0
21,10,21,Colorado,State,CO,2000-01-31,186656.0
22,4,22,Alabama,State,AL,2000-01-31,101099.0
23,51,23,South Carolina,State,SC,2000-01-31,122966.0
24,25,24,Louisiana,State,LA,2000-01-31,106413.0
25,24,25,Kentucky,State,KY,2000-01-31,91778.0
26,46,26,Oregon,State,OR,2000-01-31,161416.0
27,45,27,Oklahoma,State,OK,2000-01-31,79299.0
28,11,28,Connecticut,State,CT,2000-01-31,174664.0
29,19,29,Iowa,State,IA,2000-01-31,93569.0
30,34,30,Mississippi,State,MS,2000-01-31,84117.0
31,6,31,Arkansas,State,AR,2000-01-31,79676.0
32,23,32,Kansas,State,KS,2000-01-31,93857.0
33,55,33,Utah,State,UT,2000-01-31,180246.0
34,42,34,Nevada,State,NV,2000-01-31,163608.0
36,61,36,West Virginia,State,WV,2000-01-31,66838.0
37,38,37,Nebraska,State,NE,2000-01-31,117184.0
38,20,38,Idaho,State,ID,2000-01-31,125641.0
39,18,39,Hawaii,State,HI,2000-01-31,224212.0
40,28,40,Maine,State,ME,2000-01-31,115558.0
41,39,41,New Hampshire,State,NH,2000-01-31,140564.0
42,50,42,Rhode Island,State,RI,2000-01-31,144731.0
44,13,44,Delaware,State,DE,2000-01-31,150727.0
45,52,45,South Dakota,State,SD,2000-01-31,116005.0
46,3,46,Alaska,State,AK,2000-01-31,132759.0
48,58,48,Vermont,State,VT,2000-01-31,126797.0
49,12,49,District of Columbia,State,DC,2000-01-31,192912.0
51,9,0,California,State,CA,2000-02-29,203606.0
52,54,1,Texas,State,TX,2000-02-29,114234.0
53,43,2,New York,State,NY,2000-02-29,149737.0
54,14,3,Florida,State,FL,2000-02-29,116617.0
55,21,4,Illinois,State,IL,2000-02-29,147955.0
56,47,5,Pennsylvania,State,PA,2000-02-29,106357.0
57,44,6,Ohio,State,OH,2000-02-29,110279.0
58,30,7,Michigan,State,MI,2000-02-29,122545.0
59,16,8,Georgia,State,GA,2000-02-29,132318.0
60,36,9,North Carolina,State,NC,2000-02-29,135115.0
61,40,10,New Jersey,State,NJ,2000-02-29,186331.0
62,56,11,Virginia,State,VA,2000-02-29,135774.0
63,59,12,Washington,State,WA,2000-02-29,176307.0
64,26,13,Massachusetts,State,MA,2000-02-29,208505.0
65,22,14,Indiana,State,IN,2000-02-29,103161.0
66,8,15,Arizona,State,AZ,2000-02-29,136646.0
67,53,16,Tennessee,State,TN,2000-02-29,113803.0
68,32,17,Missouri,State,MO,2000-02-29,100625.0
69,27,18,Maryland,State,MD,2000-02-29,163402.0
70,60,19,Wisconsin,State,WI,2000-02-29,118280.0
71,31,20,Minnesota,State,MN,2000-02-29,136391.0
72,10,21,Colorado,State,CO,2000-02-29,187565.0
73,4,22,Alabama,State,AL,2000-02-29,101372.0
74,51,23,South Carolina,State,SC,2000-02-29,123373.0
75,25,24,Louisiana,State,LA,2000-02-29,106762.0
76,24,25,Kentucky,State,KY,2000-02-29,91883.0
77,46,26,Oregon,State,OR,2000-02-29,161931.0
78,45,27,Oklahoma,State,OK,2000-02-29,79363.0
79,11,28,Connecticut,State,CT,2000-02-29,175619.0
80,19,29,Iowa,State,IA,2000-02-29,93852.0
81,34,30,Mississippi,State,MS,2000-02-29,84129.0
82,6,31,Arkansas,State,AR,2000-02-29,79846.0
83,23,32,Kansas,State,KS,2000-02-29,93918.0
84,55,33,Utah,State,UT,2000-02-29,180394.0
85,42,34,Nevada,State,NV,2000-02-29,163656.0
87,61,36,West Virginia,State,WV,2000-02-29,66895.0
88,38,37,Nebraska,State,NE,2000-02-29,117493.0
89,20,38,Idaho,State,ID,2000-02-29,125595.0
90,18,39,Hawaii,State,HI,2000-02-29,224091.0
91,28,40,Maine,State,ME,2000-02-29,116153.0
92,39,41,New Hampshire,State,NH,2000-02-29,141259.0
93,50,42,Rhode Island,State,RI,2000-02-29,145693.0
95,13,44,Delaware,State,DE,2000-02-29,151120.0
96,52,45,South Dakota,State,SD,2000-02-29,115745.0
97,3,46,Alaska,State,AK,2000-02-29,132948.0
99,58,48,Vermont,State,VT,2000-02-29,127165.0
100,12,49,District of Columbia,State,DC,2000-02-29,193914.0
102,9,0,California,State,CA,2000-03-31,204690.0
103,54,1,Texas,State,TX,2000-03-31,114273.0
104,43,2,New York,State,NY,2000-03-31,150374.0
105,14,3,Florida,State,FL,2000-03-31,116980.0
106,21,4,Illinois,State,IL,2000-03-31,148395.0
107,47,5,Pennsylvania,State,PA,2000-03-31,106647.0
108,44,6,Ohio,State,OH,2000-03-31,110452.0
109,30,7,Michigan,State,MI,2000-03-31,122935.0
110,16,8,Georgia,State,GA,2000-03-31,132761.0
111,36,9,North Carolina,State,NC,2000-03-31,135398.0
112,40,10,New Jersey,State,NJ,2000-03-31,186973.0
113,56,11,Virginia,State,VA,2000-03-31,136226.0
114,59,12,Washington,State,WA,2000-03-31,176824.0
115,26,13,Massachusetts,State,MA,2000-03-31,209535.0
116,22,14,Indiana,State,IN,2000-03-31,103063.0
117,8,15,Arizona,State,AZ,2000-03-31,137034.0
118,53,16,Tennessee,State,TN,2000-03-31,113948.0
119,32,17,Missouri,State,MO,2000-03-31,100873.0
120,27,18,Maryland,State,MD,2000-03-31,163605.0
121,60,19,Wisconsin,State,WI,2000-03-31,118524.0
122,31,20,Minnesota,State,MN,2000-03-31,136931.0
123,10,21,Colorado,State,CO,2000-03-31,188427.0
124,4,22,Alabama,State,AL,2000-03-31,101522.0
125,51,23,South Carolina,State,SC,2000-03-31,123645.0
126,25,24,Louisiana,State,LA,2000-03-31,106969.0
